date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:56:54	68615/68615	---M-Z	200	added ('OK')	text/html	date:Thu,%2025%20Mar%202021%2005:26:52%20GMT	http://slimhamdi.net/istanbul/demos/index-dark.html	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/index-dark.html	(from )
10:56:55	537/537	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2025%20Mar%202021%2005:26:53%20GMT	http://slimhamdi.net/robots.txt		(from )
10:56:55	144877/144877	---M-Z	200	added ('OK')	text/css	date:Sat,%2026%20Oct%202019%2020:24:09%20GMT	http://slimhamdi.net/istanbul/demos/css/bootstrap.min.css	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/css/bootstrap.min.css	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
10:56:55	12698/12698	---M-Z	200	added ('OK')	text/css	date:Sat,%2026%20Oct%202019%2020:24:09%20GMT	http://slimhamdi.net/istanbul/demos/css/jquery.animatedheadline.css	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/css/jquery.animatedheadline.css	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
10:56:56	31000/31000	---M-Z	200	added ('OK')	text/css	date:Sat,%2026%20Oct%202019%2020:24:09%20GMT	http://slimhamdi.net/istanbul/demos/css/font-awesome.min.css	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/css/font-awesome.min.css	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
10:56:56	55941/55941	---M-Z	200	added ('OK')	text/css	date:Wed,%2006%20Nov%202019%2017:26:16%20GMT	http://slimhamdi.net/istanbul/demos/css/style.css	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/css/style.css	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
10:56:57	2802/2802	---M-Z	200	added ('OK')	text/css	date:Wed,%2006%20Nov%202019%2017:27:14%20GMT	http://slimhamdi.net/istanbul/demos/css/skins/yellow.css	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/css/skins/yellow.css	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
10:56:57	14856/14856	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2026%20Oct%202019%2020:26:59%20GMT	http://slimhamdi.net/istanbul/demos/js/modernizr.js	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/js/modernizr.js	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
10:56:58	2800/2800	---M-Z	200	added ('OK')	text/css	date:Wed,%2006%20Nov%202019%2017:27:16%20GMT	http://slimhamdi.net/istanbul/demos/css/skins/blue.css	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/css/skins/blue.css	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
10:56:58	2805/2805	---M-Z	200	added ('OK')	text/css	date:Wed,%2006%20Nov%202019%2017:27:18%20GMT	http://slimhamdi.net/istanbul/demos/css/skins/goldrenrod.css	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/css/skins/goldrenrod.css	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
10:56:58	2800/2800	---M-Z	200	added ('OK')	text/css	date:Wed,%2006%20Nov%202019%2017:27:19%20GMT	http://slimhamdi.net/istanbul/demos/css/skins/green.css	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/css/skins/green.css	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
